"docty","docdt","display_title","projectid","txturl","pdfurl","repnb","prdln","projn","id","preprim","tarl","stped","docyear","totalchar","mainsec","anyBB","anyBB_nopreprim","boardapprovaldate","curr_total_commitment","sector1"
"Project Appraisal Document","1999-05-04T00:00:00Z","Azerbaijan - Education Reform Project","P057959","http://documents.worldbank.org/curated/en/116651468768603812/text/multi-page.txt",NA,"18991",NA,"AZ-Education Reform Project-313580 -- P057959","440858",0,0,0,1999,132242,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-04-18T00:00:00Z","Armenia - Second Social Investment Fund Project","P057952","http://documents.worldbank.org/curated/en/925281468768560491/text/multi-page.txt",NA,"20326",NA,"AM-Social Investment Fund 2 Project (Sif 2)
            -- P057952","437788",0,0,0,2000,270717,1,0,0,NA,NA,NA
"Project Appraisal Document","2005-06-03T00:00:00Z","Armenia - Urban Heating Project","P057880","http://documents.worldbank.org/curated/en/488871468008998105/text/31552a.txt","http://documents.worldbank.org/curated/en/488871468008998105/pdf/31552a.pdf","31552",NA,"AM-Urban Heating Project -- P057880","6022242",0,0,0,2005,185091,1,0,0,NA,NA,NA
"Project Appraisal Document","2005-03-04T00:00:00Z","Costa Rica - Equity and Efficiency of Education Project","P057857","http://documents.worldbank.org/curated/en/771201468770513171/text/28326.txt",NA,"28326",NA,"CR-Equity And Efficiency Of Education -- P057857","5656407",0,0,0,2005,279178,1,0,0,NA,NA,NA
"Project Appraisal Document","2002-05-17T00:00:00Z","Brazil - Fundescola IIIA (Third School Improvement) Project","P057653","http://documents.worldbank.org/curated/en/971681468770491736/text/multi0page.txt",NA,"23297",NA,"BR-Fundescola Iiia (Third School Improvement
            Project) -- P057653","1796867",0,0,0,2002,293303,0,0,0,NA,NA,NA
"Project Appraisal Document","2002-02-21T00:00:00Z","Mexico - Second Basic Education Development Project","P057531","http://documents.worldbank.org/curated/en/843911468752958910/text/multi0page.txt",NA,"23295",NA,"MX-Basic Education Development Phase II -- P057531","1717423",1,0,0,2002,373735,1,1,0,NA,NA,NA
"Project Appraisal Document","1999-05-25T00:00:00Z","Honduras - Interactive Environmental Learning and Science Promotion Project (PROFUTURO)","P057350","http://documents.worldbank.org/curated/en/194421468771631353/text/multi-page.txt",NA,"18452",NA,"HN-Interactive Environmental Learning &
            Science Promotion Project -- P057350","440986",0,0,0,1999,120399,1,0,0,NA,NA,NA
"Project Appraisal Document","1998-06-26T00:00:00Z","Guinea - Pre-Service Teacher Education Project","P057188","http://documents.worldbank.org/curated/en/616571468751768760/text/multi-page.txt",NA,"17894",NA,"GN-Pre-Service Teacher Education -- P057188","442204",0,0,0,1998,88522,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-03-01T00:00:00Z","Albania - Legal and Judicial Reform Project","P057182","http://documents.worldbank.org/curated/en/129781468741889559/text/multi-page.txt",NA,"19915",NA,"AL-Legal & Judicial Reform Project -- P057182","438124",0,0,0,2000,147086,0,0,0,NA,NA,NA
"Project Appraisal Document","2001-05-23T00:00:00Z","Zambia - Technical Education Vocational & Entrepreneur Training (TEVET) Development Program Support Project","P057167","http://documents.worldbank.org/curated/en/919651468781198984/text/multi0page.txt","http://documents.worldbank.org/curated/en/919651468781198984/pdf/multi0page.pdf","21417","IBRD/IDA","ZM-Technical Education Vocational &
            Entrepreneurship Training (Tev -- P057167","1121297",0,0,0,2001,310919,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-03-25T00:00:00Z","Lesotho - Second Education Sector Development Project","P056416","http://documents.worldbank.org/curated/en/219651468772446349/text/multi-page.txt",NA,"18388",NA,"LS-Second Education Sector Development -- P056416","442167",0,0,0,1999,248783,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-05-26T00:00:00Z","Angola - Second Social Action Fund Project (FAS II)","P056393","http://documents.worldbank.org/curated/en/818431468767401086/text/multi-page.txt",NA,"20474",NA,"AO-Second Social Action Fund Project (Fas
            II) -- P056393","437418",0,0,0,2000,300437,1,0,0,NA,NA,NA
"Project Appraisal Document","1998-06-15T00:00:00Z","Thailand - Social Investment Project","P056269","http://documents.worldbank.org/curated/en/178531468761732634/text/multi-page.txt",NA,"17785",NA,"TH-Social Investment Proj I -- P056269","442202",0,0,0,1998,117813,0,0,0,NA,NA,NA
"Project Appraisal Document","2002-03-07T00:00:00Z","Egypt - Higher Education Enhancement Project","P056236","http://documents.worldbank.org/curated/en/601731468770099540/text/multi0page.txt",NA,"23332",NA,"EG-Higher Education Enhancement Project -- P056236","1741060",0,0,0,2002,197275,1,0,0,NA,NA,NA
"Project Appraisal Document","2000-02-11T00:00:00Z","Maldives - Third Education and Training Project","P055944","http://documents.worldbank.org/curated/en/878041468761130646/text/multi-page.txt",NA,"20069",NA,"MV-Third Education And Training Project -- P055944","438174",0,0,0,2000,119523,1,0,0,NA,NA,NA
"Project Appraisal Document","1998-06-04T00:00:00Z","Cameroon - Higher Education Technical Training Project","P055684","http://documents.worldbank.org/curated/en/310011468743765349/text/multi-page.txt",NA,"17375",NA,"CM-Higher Education Technical Training
            Project -- P055684","693481",0,0,0,1998,83419,1,0,0,NA,NA,NA
"Project Appraisal Document","1998-10-19T00:00:00Z","Chile - Higher Education Improvement Project","P055481","http://documents.worldbank.org/curated/en/436391468743669004/text/multi-page.txt",NA,"17887",NA,"CL-Chile: Higher Education Improvement
            Project -- P055481","440551",0,0,0,1998,204350,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-04-30T00:00:00Z","Cape Verde - Education and Training Consolidation and Modernization Project","P055468","http://documents.worldbank.org/curated/en/822821468744075050/text/multi-page.txt",NA,"18581",NA,"CV-Education & Training Consolidation
            & Modernization -- P055468","440645",0,0,0,1999,173273,1,0,0,NA,NA,NA
"Project Appraisal Document","2004-03-23T00:00:00Z","India - Elementary Education Project","P055459","http://documents.worldbank.org/curated/en/442471468752418802/text/27703.txt",NA,"27703","IBRD/IDA","IN-Elementary Education Project -- P055459","3067885",0,0,0,2004,303130,1,0,0,NA,NA,NA
